id,bar_code,unit_of_measurement_id,name,description,created_at,updated_at,image_url
24,98178506,6,Nome do produto,"Thick slices of French toast bread, brown sugar, half-and-half and vanilla, topped with powdered sugar. With two eggs served any style, and your choice of smoked bacon or smoked ham.",2025-03-13 19:38:11.979612,2025-03-13 19:38:11.979612,https://picsum.photos/200?random=365
25,77289346,8,Nome do produto,"Two butter croissants of your choice (plain, almond or cheese). With a side of herb butter or house-made hazelnut spread.",2025-03-13 19:38:11.994139,2025-03-13 19:38:11.994139,https://picsum.photos/200?random=874
26,33889757,3,Nome do produto,"Fresh Norwegian salmon, lightly brushed with our herbed Dijon mustard sauce, with choice of two sides.",2025-03-13 19:38:12.009085,2025-03-13 19:38:12.009085,https://picsum.photos/200?random=929
27,71787985,9,Nome do produto,"Three egg omelet with Roquefort cheese, chives, and ham. With a side of roasted potatoes, and your choice of toast or croissant.",2025-03-13 19:38:12.026781,2025-03-13 19:38:12.026781,https://picsum.photos/200?random=263
28,75148317,3,Nome do produto,"Breaded fried chicken with waffles, and a side of maple syrup.",2025-03-13 19:38:12.052734,2025-03-13 19:38:12.052734,https://picsum.photos/200?random=247
29,73570523,9,Nome do produto,"Creamy mascarpone cheese and custard layered between espresso and rum soaked house-made ladyfingers, topped with Valrhona cocoa powder.",2025-03-13 19:38:12.064602,2025-03-13 19:38:12.064602,https://picsum.photos/200?random=804
30,52719707,5,Nome do produto,"Granny Smith apples mixed with brown sugar and butter filling, in a flaky all-butter crust, with ice cream.",2025-03-13 19:38:12.077066,2025-03-13 19:38:12.077066,https://picsum.photos/200?random=949
31,79003704,3,Nome do produto,"Fresh parsley, Italian sausage, shallots, garlic, sun-dried tomatoes and mozzarella cheese in an all-butter crust. With a side of mixed fruits.",2025-03-13 19:38:12.088373,2025-03-13 19:38:12.088373,https://picsum.photos/200?random=865
32,67063062,4,Nome do produto,"Granny Smith apples mixed with brown sugar and butter filling, in a flaky all-butter crust, with ice cream.",2025-03-13 19:38:12.098608,2025-03-13 19:38:12.098608,https://picsum.photos/200?random=286
33,26061139,3,Nome do produto,"Thick slices of French toast bread, brown sugar, half-and-half and vanilla, topped with powdered sugar. With two eggs served any style, and your choice of smoked bacon or smoked ham.",2025-03-13 19:38:12.111222,2025-03-13 19:38:12.111222,https://picsum.photos/200?random=175
34,90132421,3,Nome do produto,"Two butter croissants of your choice (plain, almond or cheese). With a side of herb butter or house-made hazelnut spread.",2025-03-13 19:38:12.123758,2025-03-13 19:38:12.123758,https://picsum.photos/200?random=757
35,13027261,1,Nome do produto,"Three egg omelet with Roquefort cheese, chives, and ham. With a side of roasted potatoes, and your choice of toast or croissant.",2025-03-13 19:38:12.139936,2025-03-13 19:38:12.139936,https://picsum.photos/200?random=528
36,87301250,9,Nome do produto,"Two butter croissants of your choice (plain, almond or cheese). With a side of herb butter or house-made hazelnut spread.",2025-03-13 19:38:12.154467,2025-03-13 19:38:12.154467,https://picsum.photos/200?random=807
37,95030661,3,Nome do produto,"Creamy mascarpone cheese and custard layered between espresso and rum soaked house-made ladyfingers, topped with Valrhona cocoa powder.",2025-03-13 19:38:12.164633,2025-03-13 19:38:12.164633,https://picsum.photos/200?random=967
38,58023259,8,Nome do produto,"Two buttermilk waffles, topped with whipped cream and maple syrup, a side of two eggs served any style, and your choice of smoked bacon or smoked ham.",2025-03-13 19:38:12.174387,2025-03-13 19:38:12.174387,https://picsum.photos/200?random=770
39,21303593,9,Nome do produto,"Fresh parsley, Italian sausage, shallots, garlic, sun-dried tomatoes and mozzarella cheese in an all-butter crust. With a side of mixed fruits.",2025-03-13 19:38:12.184730,2025-03-13 19:38:12.184730,https://picsum.photos/200?random=95
40,95332000,3,Nome do produto,"Three eggs with cilantro, tomatoes, onions, avocados and melted Emmental cheese. With a side of roasted potatoes, and your choice of toast or croissant.",2025-03-13 19:38:12.194190,2025-03-13 19:38:12.194190,https://picsum.photos/200?random=223
41,78039162,1,Nome do produto,"Three eggs with cilantro, tomatoes, onions, avocados and melted Emmental cheese. With a side of roasted potatoes, and your choice of toast or croissant.",2025-03-13 19:38:12.205821,2025-03-13 19:38:12.205821,https://picsum.photos/200?random=314
42,12676705,8,Nome do produto,"Three eggs with cilantro, tomatoes, onions, avocados and melted Emmental cheese. With a side of roasted potatoes, and your choice of toast or croissant.",2025-03-13 19:38:12.222428,2025-03-13 19:38:12.222428,https://picsum.photos/200?random=146
43,33482262,1,Nome do produto,"Smoked salmon, poached eggs, diced red onions and Hollandaise sauce on an English muffin. With a side of roasted potatoes.",2025-03-13 19:38:12.233243,2025-03-13 19:38:12.233243,https://picsum.photos/200?random=572
44,55270601,2,Nome do produto,"Thick slices of French toast bread, brown sugar, half-and-half and vanilla, topped with powdered sugar. With two eggs served any style, and your choice of smoked bacon or smoked ham.",2025-03-13 19:38:12.245729,2025-03-13 19:38:12.245729,https://picsum.photos/200?random=168
45,92353510,5,Nome do produto,"Fresh Norwegian salmon, lightly brushed with our herbed Dijon mustard sauce, with choice of two sides.",2025-03-13 19:38:12.256695,2025-03-13 19:38:12.256695,https://picsum.photos/200?random=981
46,99282288,6,Nome do produto,"28-day aged 300g USDA Certified Prime Ribeye, rosemary-thyme garlic butter, with choice of two sides.",2025-03-13 19:38:12.266954,2025-03-13 19:38:12.266954,https://picsum.photos/200?random=433
47,70332650,2,Nome do produto,"Breaded fried chicken with waffles, and a side of maple syrup.",2025-03-13 19:38:12.277794,2025-03-13 19:38:12.277794,https://picsum.photos/200?random=648
48,97052906,6,Nome do produto,"Two butter croissants of your choice (plain, almond or cheese). With a side of herb butter or house-made hazelnut spread.",2025-03-13 19:38:12.287665,2025-03-13 19:38:12.287665,https://picsum.photos/200?random=49
49,83646720,1,Nome do produto,"Thick slices of French toast bread, brown sugar, half-and-half and vanilla, topped with powdered sugar. With two eggs served any style, and your choice of smoked bacon or smoked ham.",2025-03-13 19:38:12.298286,2025-03-13 19:38:12.298286,https://picsum.photos/200?random=259
50,84253972,4,Nome do produto,"Three egg whites with spinach, mushrooms, caramelized onions, tomatoes and low-fat feta cheese. With herbed quinoa, and your choice of rye or whole-grain toast.",2025-03-13 19:38:12.307920,2025-03-13 19:38:12.307920,https://picsum.photos/200?random=167
51,8949461894984,5,Ovos brancos G,,2025-03-21 19:08:40.525297,2025-03-21 19:08:40.525297,
54,8949461890004,9,Ovos brancos G,,2025-03-21 19:13:52.138044,2025-03-21 19:13:52.138044,
60,8943333894984,3,peito de frango,,2025-03-21 19:26:07.646579,2025-03-21 19:26:07.646579,
61,17891515971592,24,FILÉ DE PEITO SASSAMI (FILÉZINHO),,2025-04-18 03:13:51.708892,2025-04-18 03:13:51.708892,
62,7897791200305,23,FILÉ DE PEITO DE FRANGO KG ,,2025-04-18 03:13:59.585045,2025-04-18 03:13:59.585045,
63,7898312041254,22,COXA E SOBRECOXA DE FRANGO BDJ,,2025-04-18 03:14:03.816935,2025-04-18 03:14:03.816935,
64,7898208481225,21,COXA C/ SOBRE COXA DE FRANGO C/DORSO,,2025-04-18 03:14:09.172913,2025-04-18 03:14:09.172913,
65,7896466621353,20,Leite longa vida Lirio integral,,2025-04-18 03:14:17.264694,2025-04-18 03:14:17.264694,
66,8949461023121,26,Refrigerante coca cola ,,2025-04-22 14:13:11.526125,2025-04-22 14:13:11.526125,
70,7898208481157,23,COXA C/SOBRE COXA DE FRANGO ,As Coxas e Sobrecoxas Canção são a escolha perfeita para quem busca maciez e um sabor irresistível. Fácil de preparar e cheia de possibilidades na cozinha.,2025-04-23 21:26:34.330100,2025-04-23 21:26:34.330100,
71,1111111111111,27,TESTE,,2025-04-25 14:20:29.441060,2025-04-25 14:20:29.441060,
72,7896259412571,29,leite em po 1kg,,2025-04-25 14:20:43.914821,2025-04-25 14:20:43.914821,
73,7896342413089,28,file de peito de frango ,,2025-04-25 14:20:50.414132,2025-04-25 14:20:50.414132,
74,1234567897894562123,30,carne moida patinho,,2025-04-25 16:48:41.553568,2025-04-25 16:48:41.553568,
