id,priceable_type,priceable_id,supplier_product_id,value,created_at,updated_at,expiration_date
22,SupplierProduct,8,8,53400,2025-03-13 19:38:12.791552,2025-03-13 19:38:12.791552,2025-03-16 19:38:12.790953
23,Discount,8,8,46860,2025-03-13 19:38:12.806486,2025-03-13 19:38:12.806486,2025-03-19 19:38:12.805674
24,SpecialPrice,8,8,50095,2025-03-13 19:38:12.821148,2025-03-13 19:38:12.821148,2025-03-25 19:38:12.820372
25,SupplierProduct,9,9,41400,2025-03-13 19:38:12.845256,2025-03-13 19:38:12.845256,2025-03-15 19:38:12.844591
26,Discount,9,9,30855,2025-03-13 19:38:12.873448,2025-03-13 19:38:12.873448,2025-03-18 19:38:12.871056
27,SpecialPrice,9,9,36653,2025-03-13 19:38:12.903151,2025-03-13 19:38:12.903151,2025-03-20 19:38:12.902554
28,SupplierProduct,10,10,29900,2025-03-13 19:38:12.932036,2025-03-13 19:38:12.932036,2025-03-19 19:38:12.930784
29,Discount,10,10,21576,2025-03-13 19:38:12.950410,2025-03-13 19:38:12.950410,2025-03-17 19:38:12.948778
30,SpecialPrice,10,10,25411,2025-03-13 19:38:12.965280,2025-03-13 19:38:12.965280,2025-03-25 19:38:12.964718
31,SupplierProduct,11,11,62000,2025-03-13 19:38:12.985186,2025-03-13 19:38:12.985186,2025-03-20 19:38:12.984616
32,Discount,11,11,50758,2025-03-13 19:38:13.002756,2025-03-13 19:38:13.002756,2025-03-15 19:38:12.999535
33,SpecialPrice,11,11,57464,2025-03-13 19:38:13.019596,2025-03-13 19:38:13.019596,2025-03-23 19:38:13.018465
34,SupplierProduct,12,12,74700,2025-03-13 19:38:13.034496,2025-03-13 19:38:13.034496,2025-03-15 19:38:13.033910
35,Discount,12,12,52787,2025-03-13 19:38:13.055739,2025-03-13 19:38:13.055739,2025-03-15 19:38:13.054281
36,SpecialPrice,12,12,67418,2025-03-13 19:38:13.070579,2025-03-13 19:38:13.070579,2025-03-26 19:38:13.069982
37,SupplierProduct,13,13,57100,2025-03-13 19:38:13.101987,2025-03-13 19:38:13.101987,2025-03-19 19:38:13.101352
38,Discount,13,13,45304,2025-03-13 19:38:13.127923,2025-03-13 19:38:13.127923,2025-03-14 19:38:13.124924
39,SpecialPrice,13,13,47762,2025-03-13 19:38:13.148301,2025-03-13 19:38:13.148301,2025-03-28 19:38:13.147618
40,SupplierProduct,14,14,54600,2025-03-13 19:38:13.166082,2025-03-13 19:38:13.166082,2025-03-19 19:38:13.165472
41,Discount,14,14,39189,2025-03-13 19:38:13.184062,2025-03-13 19:38:13.184062,2025-03-15 19:38:13.183314
42,SpecialPrice,14,14,44546,2025-03-13 19:38:13.203104,2025-03-13 19:38:13.203104,2025-03-23 19:38:13.202442
43,SupplierProduct,15,15,36600,2025-03-13 19:38:13.227279,2025-03-13 19:38:13.227279,2025-03-20 19:38:13.226663
44,Discount,15,15,28367,2025-03-13 19:38:13.253225,2025-03-13 19:38:13.253225,2025-03-16 19:38:13.252622
45,SpecialPrice,15,15,34269,2025-03-13 19:38:13.275134,2025-03-13 19:38:13.275134,2025-03-21 19:38:13.274537
46,SupplierProduct,16,16,92500,2025-03-13 19:38:13.290705,2025-03-13 19:38:13.290705,2025-03-16 19:38:13.289753
47,Discount,16,16,70978,2025-03-13 19:38:13.308243,2025-03-13 19:38:13.308243,2025-03-17 19:38:13.307482
48,SpecialPrice,16,16,85029,2025-03-13 19:38:13.329958,2025-03-13 19:38:13.329958,2025-03-21 19:38:13.328763
49,SupplierProduct,17,17,56800,2025-03-13 19:38:13.351719,2025-03-13 19:38:13.351719,2025-03-16 19:38:13.350930
50,Discount,17,17,48781,2025-03-13 19:38:13.371003,2025-03-13 19:38:13.371003,2025-03-14 19:38:13.370234
51,SpecialPrice,17,17,46890,2025-03-13 19:38:13.393949,2025-03-13 19:38:13.393949,2025-03-28 19:38:13.393308
52,SupplierProduct,18,18,10400,2025-03-13 19:38:13.412463,2025-03-13 19:38:13.412463,2025-03-15 19:38:13.411712
53,Discount,18,18,8439,2025-03-13 19:38:13.435146,2025-03-13 19:38:13.435146,2025-03-19 19:38:13.434542
54,SpecialPrice,18,18,9411,2025-03-13 19:38:13.452113,2025-03-13 19:38:13.452113,2025-03-26 19:38:13.451525
55,SupplierProduct,19,19,72600,2025-03-13 19:38:13.466137,2025-03-13 19:38:13.466137,2025-03-18 19:38:13.465557
56,Discount,19,19,62368,2025-03-13 19:38:13.483419,2025-03-13 19:38:13.483419,2025-03-17 19:38:13.482702
57,SpecialPrice,19,19,61614,2025-03-13 19:38:13.501503,2025-03-13 19:38:13.501503,2025-03-21 19:38:13.500509
58,SupplierProduct,20,20,29600,2025-03-13 19:38:13.517049,2025-03-13 19:38:13.517049,2025-03-15 19:38:13.515408
59,Discount,20,20,20901,2025-03-13 19:38:13.533964,2025-03-13 19:38:13.533964,2025-03-20 19:38:13.533292
60,SpecialPrice,20,20,25167,2025-03-13 19:38:13.551769,2025-03-13 19:38:13.551769,2025-03-21 19:38:13.551050
61,SupplierProduct,21,21,71700,2025-03-13 19:38:13.566752,2025-03-13 19:38:13.566752,2025-03-20 19:38:13.566038
62,Discount,21,21,58937,2025-03-13 19:38:13.582889,2025-03-13 19:38:13.582889,2025-03-14 19:38:13.582275
63,SpecialPrice,21,21,60330,2025-03-13 19:38:13.600917,2025-03-13 19:38:13.600917,2025-03-24 19:38:13.600221
64,SupplierProduct,22,22,52100,2025-03-13 19:38:13.617107,2025-03-13 19:38:13.617107,2025-03-14 19:38:13.616496
65,Discount,22,22,41566,2025-03-13 19:38:13.631963,2025-03-13 19:38:13.631963,2025-03-18 19:38:13.631244
66,SpecialPrice,22,22,44770,2025-03-13 19:38:13.650285,2025-03-13 19:38:13.650285,2025-03-19 19:38:13.649710
67,SupplierProduct,23,23,57200,2025-03-13 19:38:13.667508,2025-03-13 19:38:13.667508,2025-03-19 19:38:13.666894
68,Discount,23,23,41756,2025-03-13 19:38:13.682081,2025-03-13 19:38:13.682081,2025-03-19 19:38:13.681453
69,SpecialPrice,23,23,52530,2025-03-13 19:38:13.699012,2025-03-13 19:38:13.699012,2025-03-24 19:38:13.698413
70,SupplierProduct,24,24,45100,2025-03-13 19:38:13.716277,2025-03-13 19:38:13.716277,2025-03-18 19:38:13.715701
71,Discount,24,24,36787,2025-03-13 19:38:13.731854,2025-03-13 19:38:13.731854,2025-03-15 19:38:13.731204
72,SpecialPrice,24,24,36975,2025-03-13 19:38:13.768928,2025-03-13 19:38:13.768928,2025-03-22 19:38:13.767269
73,SupplierProduct,25,25,22200,2025-03-13 19:38:13.792605,2025-03-13 19:38:13.792605,2025-03-20 19:38:13.791971
74,Discount,25,25,18237,2025-03-13 19:38:13.808860,2025-03-13 19:38:13.808860,2025-03-20 19:38:13.808080
75,SpecialPrice,25,25,18117,2025-03-13 19:38:13.831530,2025-03-13 19:38:13.831530,2025-03-28 19:38:13.830882
76,SupplierProduct,26,26,66400,2025-03-13 19:38:13.864312,2025-03-13 19:38:13.864312,2025-03-14 19:38:13.863550
77,Discount,26,26,53204,2025-03-13 19:38:13.883777,2025-03-13 19:38:13.883777,2025-03-15 19:38:13.882657
78,SpecialPrice,26,26,59155,2025-03-13 19:38:13.902420,2025-03-13 19:38:13.902420,2025-03-27 19:38:13.901701
79,SupplierProduct,27,27,93000,2025-03-13 19:38:13.919376,2025-03-13 19:38:13.919376,2025-03-19 19:38:13.918763
80,Discount,27,27,69687,2025-03-13 19:38:13.935214,2025-03-13 19:38:13.935214,2025-03-18 19:38:13.934618
81,SpecialPrice,27,27,80211,2025-03-13 19:38:13.950914,2025-03-13 19:38:13.950914,2025-03-26 19:38:13.950114
82,SupplierProduct,28,28,42400,2025-03-13 19:38:13.974713,2025-03-13 19:38:13.974713,2025-03-17 19:38:13.973743
83,Discount,28,28,34126,2025-03-13 19:38:13.991487,2025-03-13 19:38:13.991487,2025-03-20 19:38:13.990667
84,SpecialPrice,28,28,37768,2025-03-13 19:38:14.009308,2025-03-13 19:38:14.009308,2025-03-21 19:38:14.008698
85,SupplierProduct,29,29,82600,2025-03-13 19:38:14.026297,2025-03-13 19:38:14.026297,2025-03-14 19:38:14.025703
86,Discount,29,29,59717,2025-03-13 19:38:14.049268,2025-03-13 19:38:14.049268,2025-03-15 19:38:14.048522
87,SpecialPrice,29,29,71126,2025-03-13 19:38:14.066034,2025-03-13 19:38:14.066034,2025-03-24 19:38:14.065388
88,SupplierProduct,30,30,65600,2025-03-13 19:38:14.089987,2025-03-13 19:38:14.089987,2025-03-14 19:38:14.089195
89,Discount,30,30,56041,2025-03-13 19:38:14.113374,2025-03-13 19:38:14.113374,2025-03-18 19:38:14.111239
90,SpecialPrice,30,30,55203,2025-03-13 19:38:14.130121,2025-03-13 19:38:14.130121,2025-03-20 19:38:14.129112
91,SupplierProduct,31,31,88800,2025-03-13 19:38:14.149292,2025-03-13 19:38:14.149292,2025-03-15 19:38:14.148375
92,Discount,31,31,78971,2025-03-13 19:38:14.166968,2025-03-13 19:38:14.166968,2025-03-18 19:38:14.166092
93,SpecialPrice,31,31,73534,2025-03-13 19:38:14.185802,2025-03-13 19:38:14.185802,2025-03-24 19:38:14.184916
94,SupplierProduct,32,32,17000,2025-03-13 19:38:14.202006,2025-03-13 19:38:14.202006,2025-03-15 19:38:14.201308
95,Discount,32,32,14366,2025-03-13 19:38:14.218263,2025-03-13 19:38:14.218263,2025-03-14 19:38:14.217530
96,SpecialPrice,32,32,15728,2025-03-13 19:38:14.239758,2025-03-13 19:38:14.239758,2025-03-19 19:38:14.239148
97,SupplierProduct,33,33,11600,2025-03-13 19:38:14.255778,2025-03-13 19:38:14.255778,2025-03-18 19:38:14.254077
98,Discount,33,33,9806,2025-03-13 19:38:14.278948,2025-03-13 19:38:14.278948,2025-03-17 19:38:14.278273
99,SpecialPrice,33,33,9620,2025-03-13 19:38:14.297524,2025-03-13 19:38:14.297524,2025-03-25 19:38:14.296697
100,SupplierProduct,34,34,80900,2025-03-13 19:38:14.314804,2025-03-13 19:38:14.314804,2025-03-19 19:38:14.314075
101,Discount,34,34,71459,2025-03-13 19:38:14.332206,2025-03-13 19:38:14.332206,2025-03-20 19:38:14.331605
102,SpecialPrice,34,34,74482,2025-03-13 19:38:14.359278,2025-03-13 19:38:14.359278,2025-03-24 19:38:14.358652
103,SupplierProduct,35,35,57900,2025-03-13 19:38:14.387457,2025-03-13 19:38:14.387457,2025-03-17 19:38:14.386805
104,Discount,35,35,43968,2025-03-13 19:38:14.434245,2025-03-13 19:38:14.434245,2025-03-14 19:38:14.433597
105,SpecialPrice,35,35,50582,2025-03-13 19:38:14.471133,2025-03-13 19:38:14.471133,2025-03-19 19:38:14.470511
106,SupplierProduct,36,36,65900,2025-03-13 19:38:14.500715,2025-03-13 19:38:14.500715,2025-03-18 19:38:14.500101
107,Discount,36,36,51770,2025-03-13 19:38:14.525495,2025-03-13 19:38:14.525495,2025-03-15 19:38:14.524735
108,SpecialPrice,36,36,53356,2025-03-13 19:38:14.544019,2025-03-13 19:38:14.544019,2025-03-20 19:38:14.543403
109,SupplierProduct,37,37,100000,2025-03-13 19:38:14.584849,2025-03-13 19:38:14.584849,2025-03-16 19:38:14.581742
110,Discount,37,37,81139,2025-03-13 19:38:14.601108,2025-03-13 19:38:14.601108,2025-03-15 19:38:14.600520
111,SpecialPrice,37,37,94485,2025-03-13 19:38:14.617064,2025-03-13 19:38:14.617064,2025-03-20 19:38:14.616312
112,SupplierProduct,38,38,86300,2025-03-13 19:38:14.633032,2025-03-13 19:38:14.633032,2025-03-14 19:38:14.632465
113,Discount,38,38,64423,2025-03-13 19:38:14.647496,2025-03-13 19:38:14.647496,2025-03-15 19:38:14.646906
114,SpecialPrice,38,38,80052,2025-03-13 19:38:14.662385,2025-03-13 19:38:14.662385,2025-03-23 19:38:14.661696
115,SupplierProduct,39,39,90700,2025-03-13 19:38:14.676504,2025-03-13 19:38:14.676504,2025-03-17 19:38:14.675929
116,Discount,39,39,71813,2025-03-13 19:38:14.701962,2025-03-13 19:38:14.701962,2025-03-19 19:38:14.701228
117,SpecialPrice,39,39,85356,2025-03-13 19:38:14.725052,2025-03-13 19:38:14.725052,2025-03-23 19:38:14.724313
118,SupplierProduct,40,40,31900,2025-03-13 19:38:14.742525,2025-03-13 19:38:14.742525,2025-03-17 19:38:14.741924
119,Discount,40,40,23690,2025-03-13 19:38:14.764686,2025-03-13 19:38:14.764686,2025-03-18 19:38:14.764062
120,SpecialPrice,40,40,27103,2025-03-13 19:38:14.792351,2025-03-13 19:38:14.792351,2025-03-19 19:38:14.791700
121,SupplierProduct,41,41,75400,2025-03-13 19:38:14.810535,2025-03-13 19:38:14.810535,2025-03-16 19:38:14.809763
122,Discount,41,41,62734,2025-03-13 19:38:14.827773,2025-03-13 19:38:14.827773,2025-03-14 19:38:14.825883
123,SpecialPrice,41,41,71318,2025-03-13 19:38:14.847354,2025-03-13 19:38:14.847354,2025-03-18 19:38:14.846648
124,SupplierProduct,42,42,83400,2025-03-13 19:38:14.863876,2025-03-13 19:38:14.863876,2025-03-14 19:38:14.863268
125,Discount,42,42,74193,2025-03-13 19:38:14.878017,2025-03-13 19:38:14.878017,2025-03-17 19:38:14.877439
126,SpecialPrice,42,42,76482,2025-03-13 19:38:14.893196,2025-03-13 19:38:14.893196,2025-03-28 19:38:14.892618
127,SupplierProduct,43,43,50900,2025-03-13 19:38:14.911082,2025-03-13 19:38:14.911082,2025-03-20 19:38:14.910495
128,Discount,43,43,45160,2025-03-13 19:38:14.928777,2025-03-13 19:38:14.928777,2025-03-14 19:38:14.927877
129,SpecialPrice,43,43,46379,2025-03-13 19:38:14.947810,2025-03-13 19:38:14.947810,2025-03-18 19:38:14.945502
130,SupplierProduct,44,44,41700,2025-03-13 19:38:14.971574,2025-03-13 19:38:14.971574,2025-03-17 19:38:14.970892
131,Discount,44,44,29899,2025-03-13 19:38:14.996652,2025-03-13 19:38:14.996652,2025-03-15 19:38:14.996041
132,SpecialPrice,44,44,38121,2025-03-13 19:38:15.015589,2025-03-13 19:38:15.015589,2025-03-25 19:38:15.014968
133,SupplierProduct,45,45,74800,2025-03-13 19:38:15.032955,2025-03-13 19:38:15.032955,2025-03-18 19:38:15.032371
134,Discount,45,45,63961,2025-03-13 19:38:15.048615,2025-03-13 19:38:15.048615,2025-03-19 19:38:15.048023
135,SpecialPrice,45,45,68362,2025-03-13 19:38:15.063344,2025-03-13 19:38:15.063344,2025-03-24 19:38:15.062529
136,SupplierProduct,46,46,72800,2025-03-13 19:38:15.078043,2025-03-13 19:38:15.078043,2025-03-16 19:38:15.077468
137,Discount,46,46,53972,2025-03-13 19:38:15.104251,2025-03-13 19:38:15.104251,2025-03-20 19:38:15.103649
138,SpecialPrice,46,46,63401,2025-03-13 19:38:15.120763,2025-03-13 19:38:15.120763,2025-03-18 19:38:15.120122
139,SupplierProduct,47,47,74700,2025-03-13 19:38:15.137541,2025-03-13 19:38:15.137541,2025-03-14 19:38:15.136954
140,Discount,47,47,54563,2025-03-13 19:38:15.154704,2025-03-13 19:38:15.154704,2025-03-17 19:38:15.153651
141,SpecialPrice,47,47,64848,2025-03-13 19:38:15.169367,2025-03-13 19:38:15.169367,2025-03-26 19:38:15.168801
142,SupplierProduct,48,48,65300,2025-03-13 19:38:15.184473,2025-03-13 19:38:15.184473,2025-03-15 19:38:15.183916
143,Discount,48,48,54796,2025-03-13 19:38:15.201312,2025-03-13 19:38:15.201312,2025-03-15 19:38:15.200152
144,SpecialPrice,48,48,60428,2025-03-13 19:38:15.217007,2025-03-13 19:38:15.217007,2025-03-21 19:38:15.216211
145,SupplierProduct,49,49,70200,2025-03-13 19:38:15.235467,2025-03-13 19:38:15.235467,2025-03-18 19:38:15.234879
146,Discount,49,49,62609,2025-03-13 19:38:15.250235,2025-03-13 19:38:15.250235,2025-03-15 19:38:15.249657
147,SpecialPrice,49,49,60951,2025-03-13 19:38:15.268790,2025-03-13 19:38:15.268790,2025-03-22 19:38:15.268151
148,SupplierProduct,50,50,80700,2025-03-13 19:38:15.286984,2025-03-13 19:38:15.286984,2025-03-16 19:38:15.286357
149,Discount,50,50,58602,2025-03-13 19:38:15.305102,2025-03-13 19:38:15.305102,2025-03-17 19:38:15.304520
150,SpecialPrice,50,50,67725,2025-03-13 19:38:15.324785,2025-03-13 19:38:15.324785,2025-03-25 19:38:15.324138
153,SupplierProduct,54,54,1200,2025-03-21 19:41:45.954263,2025-03-21 19:41:45.954276,2025-04-21 00:00:00
151,SupplierProduct,60,60,2200,2025-03-21 19:26:08.613378,2025-03-21 19:26:08.613397,2025-04-21 00:00:00
152,SupplierProduct,51,51,1550,2025-03-21 19:39:58.953486,2025-03-21 19:39:58.953502,2025-04-21 00:00:00
154,ProductApproval,31,,60,2025-04-17 17:26:37.681303,2025-04-17 17:26:37.681303,2025-06-22 00:00:00
155,ProductApproval,32,,3,2025-04-18 01:14:57.564603,2025-04-18 01:14:57.564603,2025-05-01 00:00:00
156,ProductApproval,33,,15,2025-04-18 01:23:31.801668,2025-04-18 01:23:31.801668,2025-04-30 00:00:00
157,ProductApproval,34,,16,2025-04-18 01:30:18.546791,2025-04-18 01:30:18.546791,2025-04-30 00:00:00
158,ProductApproval,35,,15,2025-04-18 01:31:33.522696,2025-04-18 01:31:33.522696,2025-04-30 00:00:00
159,ProductApproval,36,,16,2025-04-18 01:33:05.597038,2025-04-18 01:33:05.597038,2025-04-30 00:00:00
160,SupplierProduct,61,,16,2025-04-18 03:13:51.726796,2025-04-18 03:13:51.726796,2025-04-30 00:00:00
161,SupplierProduct,62,,15,2025-04-18 03:13:59.599921,2025-04-18 03:13:59.599921,2025-04-30 00:00:00
162,SupplierProduct,63,,16,2025-04-18 03:14:03.831750,2025-04-18 03:14:03.831750,2025-04-30 00:00:00
163,SupplierProduct,64,,15,2025-04-18 03:14:09.186862,2025-04-18 03:14:09.186862,2025-04-30 00:00:00
164,SupplierProduct,65,,3,2025-04-18 03:14:17.278822,2025-04-18 03:14:17.278822,2025-05-01 00:00:00
165,ProductApproval,37,,124,2025-04-22 14:10:45.437263,2025-04-22 14:10:45.437263,2025-04-23 00:00:00
166,ProductApproval,38,,32,2025-04-22 14:12:01.978056,2025-04-22 14:12:01.978056,2025-05-10 00:00:00
167,SupplierProduct,66,,32,2025-04-22 14:13:11.540546,2025-04-22 14:13:11.540546,2025-05-10 00:00:00
168,ProductApproval,39,,10,2025-04-22 17:02:37.585204,2025-04-22 17:02:37.585204,2025-04-30 00:00:00
169,ProductApproval,40,,21,2025-04-23 17:17:23.732076,2025-04-23 17:17:23.732076,2025-05-08 00:00:00
170,SupplierProduct,61,,20,2025-04-23 18:17:50.903823,2025-04-23 18:17:50.903823,2025-05-01 00:00:00
171,SupplierProduct,62,,20,2025-04-23 18:18:42.891995,2025-04-23 18:18:42.891995,2025-05-01 00:00:00
172,SupplierProduct,63,,20,2025-04-23 18:18:56.477526,2025-04-23 18:18:56.477526,2025-05-01 00:00:00
173,SupplierProduct,64,,20,2025-04-23 18:19:19.043730,2025-04-23 18:19:19.043730,2025-05-01 00:00:00
174,SupplierProduct,51,,123,2025-04-23 19:36:40.559861,2025-04-23 19:36:40.559861,2025-04-23 00:00:00
175,SupplierProduct,54,,124,2025-04-23 19:38:54.979452,2025-04-23 19:38:54.979452,2025-04-23 00:00:00
176,SupplierProduct,70,,20,2025-04-23 21:29:21.493507,2025-04-23 21:29:21.493507,2025-05-01 00:00:00
177,ProductApproval,41,,15,2025-04-25 00:21:10.926813,2025-04-25 00:21:10.926813,2025-04-30 00:00:00
178,SupplierProduct,71,,10,2025-04-25 14:20:29.456066,2025-04-25 14:20:29.456066,2025-04-30 00:00:00
179,SupplierProduct,72,,15,2025-04-25 14:20:43.929158,2025-04-25 14:20:43.929158,2025-04-30 00:00:00
180,SupplierProduct,73,,21,2025-04-25 14:20:50.427434,2025-04-25 14:20:50.427434,2025-05-08 00:00:00
181,ProductApproval,42,,60,2025-04-25 16:48:02.735665,2025-04-25 16:48:02.735665,2025-05-10 00:00:00
182,SupplierProduct,74,,60,2025-04-25 16:48:41.569368,2025-04-25 16:48:41.569368,2025-05-10 00:00:00
